Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2022,1,7.82,Western Europe,Finland,0.03316326530612242,7.886,7.756,2.518,1892.0,0.775,1.258,0.534,0.736,0.109
2022,2,7.64,Western Europe,Denmark,0.03750000000000006,7.71,7.563,2.226,1953.0,0.777,1.243,0.532,0.719,0.188
2022,3,7.56,Western Europe,Iceland,0.047704081632652905,7.651,7.464,2.32,1936.0,0.803,1.32,0.191,0.718,0.27
2022,4,7.51,Western Europe,Switzerland,0.03801020408163266,7.586,7.437,2.153,2026.0,0.822,1.226,0.461,0.677,0.147
2022,5,7.42,Western Europe,Netherlands,0.0285714285714286,7.471,7.359,2.137,1945.0,0.787,1.206,0.419,0.651,0.271
2022,6,7.4,Western Europe,Luxembourg*,0.04948979591836734,7.501,7.307,2.042,2209.0,0.79,1.155,0.388,0.7,0.12
2022,7,7.38,Western Europe,Sweden,0.03545918367346922,7.454,7.315,2.003,1920.0,0.803,1.204,0.512,0.724,0.218
2022,8,7.37,Western Europe,Norway,0.03826530612244907,7.44,7.29,1.925,1997.0,0.786,1.239,0.474,0.728,0.217
2022,9,7.36,Middle East and North Africa,Israel,0.03188775510204082,7.426,7.301,2.634,1826.0,0.818,1.221,0.143,0.568,0.155
2022,10,7.2,North America and ANZ,New Zealand,0.04056122448979587,7.279,7.12,1.954,1852.0,0.752,1.235,0.483,0.68,0.245
2022,11,7.16,Western Europe,Austria,0.037755102040816245,7.237,7.089,2.148,1931.0,0.774,1.165,0.329,0.623,0.193
2022,12,7.16,North America and ANZ,Australia,0.041581632653061064,7.244,7.081,2.011,1900.0,0.772,1.203,0.341,0.676,0.258
2022,13,7.04,Western Europe,Ireland,0.04081632653061228,7.121,6.961,1.743,2129.0,0.779,1.166,0.408,0.627,0.19
2022,14,7.034,Western Europe,Germany,0.044642857142857095,7.122,6.947,2.142,1924.0,0.776,1.088,0.358,0.585,0.163
2022,15,7.025,North America and ANZ,Canada,0.0418367346938777,7.107,6.943,1.924,1886.0,0.783,1.188,0.368,0.659,0.217
2022,16,6.977,North America and ANZ,United States,0.04515306122448992,7.065,6.888,2.214,1982.0,0.628,1.182,0.177,0.574,0.22
2022,17,6.943,Western Europe,United Kingdom,0.038520408163265255,7.018,6.867,1.967,1867.0,0.75,1.143,0.329,0.597,0.289
2022,18,6.92,Central and Eastern Europe,Czechia,0.05561224489795918,7.029,6.811,2.263,1815.0,0.715,1.26,0.048,0.66,0.158
2022,19,6.805,Western Europe,Belgium,0.043367346938775496,6.89,6.72,2.283,1907.0,0.764,1.106,0.204,0.492,0.049
2022,20,6.687,Western Europe,France,0.03647959183673464,6.758,6.615,1.895,1863.0,0.808,1.219,0.266,0.567,0.07
2022,21,6.647,Middle East and North Africa,Bahrain,0.06760204081632645,6.779,6.514,2.092,1854.0,0.625,1.029,0.155,0.693,0.199
2022,22,6.63,Central and Eastern Europe,Slovenia,0.04489795918367351,6.718,6.542,1.885,1810.0,0.769,1.249,0.115,0.685,0.118
2022,23,6.582,Latin America and Caribbean,Costa Rica,0.05153061224489795,6.683,6.481,2.346,1584.0,0.744,1.054,0.102,0.661,0.089
2022,24,6.576,Middle East and North Africa,United Arab Emirates,0.0428571428571429,6.66,6.492,1.809,1998.0,0.633,1.092,0.25,0.702,0.204
2022,25,6.523,Middle East and North Africa,Saudi Arabia,0.05816326530612239,6.637,6.409,2.075,1870.0,0.577,1.095,0.18,0.651,0.078
2022,26,6.512,East Asia,Taiwan Province of China,0.042602040816326486,6.596,6.429,2.002,1897.0,0.733,1.127,0.168,0.542,0.075
2022,27,6.48,Southeast Asia,Singapore,0.04515306122448969,6.569,6.392,0.932,2149.0,0.851,1.006,0.587,0.672,0.163
2022,28,6.477,Central and Eastern Europe,Romania,0.050000000000000155,6.575,6.379,2.446,1719.0,0.655,1.211,0.006,0.605,0.039
2022,29,6.476,Western Europe,Spain,0.04285714285714267,6.56,6.392,1.893,1808.0,0.808,1.18,0.149,0.505,0.101
2022,30,6.474,Latin America and Caribbean,Uruguay,0.04489795918367351,6.562,6.386,1.974,1615.0,0.672,1.052,0.265,0.665,0.103
2022,31,6.467,Western Europe,Italy,0.05280612244897955,6.57,6.363,2.222,1834.0,0.801,1.169,0.059,0.412,0.085
2022,32,6.455,Central and Eastern Europe,Kosovo,0.059183673469387583,6.571,6.339,2.631,1362.0,0.569,1.204,0.035,0.599,0.309
2022,33,6.447,Western Europe,Malta,0.04489795918367351,6.535,6.359,1.631,1838.0,0.789,1.232,0.166,0.679,0.174
2022,34,6.446,Central and Eastern Europe,Lithuania,0.04566326530612252,6.535,6.356,2.153,1804.0,0.659,1.232,0.077,0.496,0.053
