Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2021,1,7.842,Western Europe,Finland,0.032,7.904,7.78,3.253,1.446,0.741,1.106,0.481,0.691,-0.098
2021,2,7.62,Western Europe,Denmark,0.035,7.687,7.552,2.868,1.502,0.763,1.108,0.485,0.686,0.03
2021,3,7.571,Western Europe,Switzerland,0.036,7.643,7.5,2.839,1.566,0.816,1.079,0.413,0.653,0.025
2021,4,7.554,Western Europe,Iceland,0.059,7.67,7.438,2.967,1.482,0.772,1.172,0.17,0.698,0.16
2021,5,7.464,Western Europe,Netherlands,0.027,7.518,7.41,2.798,1.501,0.753,1.079,0.384,0.647,0.175
2021,6,7.392,Western Europe,Norway,0.035,7.462,7.323,2.58,1.543,0.782,1.108,0.427,0.703,0.093
2021,7,7.363,Western Europe,Sweden,0.036,7.433,7.293,2.683,1.478,0.763,1.062,0.448,0.685,0.086
2021,8,7.324,Western Europe,Luxembourg,0.037,7.396,7.252,2.653,1.751,0.76,1.003,0.353,0.639,-0.034
2021,9,7.277,North America and ANZ,New Zealand,0.04,7.355,7.198,2.612,1.4,0.785,1.094,0.445,0.665,0.134
2021,10,7.268,Western Europe,Austria,0.036,7.337,7.198,2.784,1.492,0.782,1.062,0.292,0.64,0.042
2021,11,7.183,North America and ANZ,Australia,0.041,7.265,7.102,2.598,1.453,0.801,1.076,0.317,0.647,0.159
2021,12,7.157,Middle East and North Africa,Israel,0.034,7.224,7.09,3.083,1.376,0.788,1.074,0.119,0.509,0.031
2021,13,7.155,Western Europe,Germany,0.04,7.232,7.077,2.824,1.48,0.757,0.993,0.306,0.6,0.011
2021,14,7.103,North America and ANZ,Canada,0.042,7.185,7.021,2.585,1.447,0.798,1.044,0.335,0.648,0.089
2021,15,7.085,Western Europe,Ireland,0.04,7.164,7.006,2.384,1.644,0.753,1.092,0.367,0.606,0.077
2021,16,7.069,Latin America and Caribbean,Costa Rica,0.056,7.179,6.96,3.387,1.134,0.722,0.966,0.083,0.673,-0.126
2021,17,7.064,Western Europe,United Kingdom,0.038,7.138,6.99,2.596,1.423,0.757,1.062,0.306,0.58,0.233
2021,18,6.965,Central and Eastern Europe,Czech Republic,0.049,7.062,6.868,3.124,1.37,0.703,1.09,0.046,0.58,-0.208
2021,19,6.951,North America and ANZ,United States,0.049,7.047,6.856,2.807,1.533,0.621,1.03,0.154,0.554,0.098
2021,20,6.834,Western Europe,Belgium,0.034,6.901,6.767,2.862,1.463,0.747,0.998,0.187,0.489,-0.153
2021,21,6.69,Western Europe,France,0.037,6.762,6.618,2.521,1.421,0.804,1.081,0.235,0.536,-0.147
2021,22,6.647,Middle East and North Africa,Bahrain,0.068,6.779,6.514,2.631,1.409,0.662,0.899,0.139,0.661,0.089
2021,23,6.602,Western Europe,Malta,0.044,6.688,6.516,2.268,1.411,0.747,1.055,0.183,0.664,0.133
2021,24,6.584,East Asia,Taiwan Province of China,0.038,6.659,6.51,2.687,1.48,0.665,0.982,0.139,0.49,-0.07
2021,25,6.561,Middle East and North Africa,United Arab Emirates,0.039,6.637,6.484,2.422,1.555,0.594,0.86,0.223,0.67,0.074
2021,26,6.494,Middle East and North Africa,Saudi Arabia,0.056,6.604,6.384,2.668,1.435,0.571,0.964,0.163,0.603,-0.149
2021,27,6.491,Western Europe,Spain,0.042,6.574,6.408,2.513,1.375,0.826,1.057,0.124,0.462,-0.081
2021,28,6.483,Western Europe,Italy,0.045,6.572,6.395,2.794,1.393,0.798,0.94,0.047,0.379,-0.084
2021,29,6.461,Central and Eastern Europe,Slovenia,0.043,6.546,6.376,2.388,1.36,0.722,1.093,0.085,0.69,-0.101
2021,30,6.435,Latin America and Caribbean,Guatemala,0.073,6.577,6.292,3.375,0.845,0.519,0.79,0.105,0.638,-0.038
2021,31,6.431,Latin America and Caribbean,Uruguay,0.046,6.521,6.341,2.6,1.164,0.649,1.042,0.223,0.625,-0.092
2021,32,6.377,Southeast Asia,Singapore,0.043,6.46,6.293,1.379,1.695,0.897,1.019,0.547,0.664,-0.018
2021,33,6.372,Central and Eastern Europe,Kosovo,0.059,6.487,6.257,3.182,0.937,0.483,0.807,0.014,0.593,0.257
2021,34,6.331,Central and Eastern Europe,Slovakia,0.041,6.411,6.251,2.714,1.304,0.653,1.066,0.018,0.468,-0.124
2021,35,6.33,Latin America and Caribbean,Brazil,0.043,6.415,6.245,3.015,1.028,0.571,0.944,0.117,0.514,-0.071
2021,36,6.317,Latin America and Caribbean,Mexico,0.053,6.42,6.213,2.961,1.126,0.634,0.83,0.089,0.585,-0.147
2021,37,6.309,Latin America and Caribbean,Jamaica,0.156,6.615,6.004,3.135,0.891,0.599,0.932,0.035,0.618,-0.137
