Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2018,1,7.632,Western Europe,Finland,0.032142857,7.695,7.569,2.595,1.305,0.874,1.592,0.393,0.681,0.202
2018,2,7.594,Western Europe,Norway,0.032397959,7.657,7.53,2.383,1.456,0.861,1.582,0.34,0.686,0.286
2018,3,7.555,Western Europe,Denmark,0.034693878,7.623,7.487,2.37,1.351,0.868,1.59,0.408,0.683,0.284
2018,4,7.495,Western Europe,Iceland,0.049744898,7.593,7.398,2.426,1.343,0.914,1.644,0.138,0.677,0.353
2018,5,7.487,Western Europe,Switzerland,0.042091837,7.57,7.405,2.32,1.42,0.927,1.549,0.357,0.66,0.256
2018,6,7.441,Western Europe,Netherlands,0.029081633,7.498,7.384,2.448,1.361,0.878,1.488,0.295,0.638,0.333
2018,7,7.328,North America,Canada,0.047193878,7.421,7.236,2.306,1.33,0.896,1.532,0.291,0.653,0.321
2018,8,7.324,Australia and New Zealand,New Zealand,0.039285714,7.401,7.247,2.156,1.268,0.876,1.601,0.389,0.669,0.365
2018,9,7.314,Western Europe,Sweden,0.0375,7.388,7.241,2.217,1.355,0.913,1.501,0.383,0.659,0.285
2018,10,7.272,Australia and New Zealand,Australia,0.043877551,7.358,7.186,2.139,1.34,0.91,1.573,0.302,0.647,0.361
2018,11,7.19,Western Europe,United Kingdom,0.037244898,6.887,6.741,1.912,1.244,0.888,1.433,0.082,0.464,0.262
2018,12,7.139,Western Europe,Austria,0.035714286,7.209,7.069,2.319,1.341,0.891,1.504,0.224,0.617,0.242
2018,13,7.072,Latin America and Caribbean,Costa Rica,0.045153061,7.16,6.983,2.911,1.01,0.817,1.459,0.101,0.632,0.143
2018,14,6.977,Western Europe,Ireland,0.039540816,7.055,6.9,1.844,1.448,0.876,1.583,0.306,0.614,0.307
2018,15,6.965,Western Europe,Germany,0.030357143,7.024,6.905,2.151,1.34,0.861,1.474,0.28,0.586,0.273
2018,16,6.927,Western Europe,Belgium,0.034693878,6.995,6.859,2.215,1.324,0.894,1.483,0.24,0.583,0.188
2018,17,6.91,Western Europe,Luxembourg,0.033418367,6.975,6.844,1.769,1.576,0.896,1.52,0.321,0.632,0.196
2018,18,6.886,North America,United States,0.044897959,6.974,6.798,2.227,1.398,0.819,1.471,0.133,0.547,0.291
2018,19,6.814,Middle East and Northern Africa,Israel,0.034183673,7.257,7.123,2.817,1.301,0.883,1.559,0.272,0.533,0.354
2018,20,6.774,Middle East and Northern Africa,United Arab Emirates,0.035714286,6.844,6.704,2.096,2.096,0.67,0.776,0.112,0.284,0.186
2018,21,6.711,Central and Eastern Europe,Czech Republic,0.036734694,6.783,6.639,2.494,1.233,0.854,1.489,0.034,0.543,0.064
2018,22,6.627,Western Europe,Malta,0.042091837,6.709,6.544,1.784,1.27,0.884,1.525,0.142,0.645,0.376
2018,23,6.489,Western Europe,France,0.040561224,6.569,6.41,2.028,1.293,0.908,1.466,0.176,0.52,0.098
2018,24,6.488,Latin America and Caribbean,Mexico,0.047193878,6.581,6.396,2.795,1.038,0.761,1.252,0.095,0.479,0.069
2018,25,6.476,Latin America and Caribbean,Chile,0.045153061,6.565,6.388,2.517,1.131,0.808,1.331,0.061,0.431,0.197
2018,26,6.441,Eastern Asia,Taiwan,,6.525,6.356,2.136126518,1.365,0.857,1.436,0.078,0.418,0.151
2018,27,6.43,Latin America and Caribbean,Panama,0.055612245,6.539,6.321,2.136126518,1.112,0.759,1.438,0.063,0.597,0.125
2018,28,6.419,Latin America and Caribbean,Brazil,0.048979592,6.515,6.323,2.136126518,0.986,0.675,1.474,0.088,0.493,0.11
2018,29,6.388,Latin America and Caribbean,Argentina,0.049489796,6.485,6.291,2.136126518,1.073,0.744,1.468,0.054,0.57,0.062
2018,30,6.382,Latin America and Caribbean,Guatemala,0.058673469,6.497,6.267,2.871,0.781,0.608,1.268,0.071,0.604,0.179
2018,31,6.379,Latin America and Caribbean,Uruguay,0.048469388,6.474,6.284,2.147,1.093,0.771,1.459,0.155,0.625,0.13
2018,32,6.374,Middle East and Northern Africa,Qatar,0.09872449,6.568,6.181,1.593,1.649,0.748,1.303,0.171,0.654,0.256
2018,33,6.371,Middle East and Northern Africa,Saudi Arabia,0.056377551,6.481,6.26,2.293,1.379,0.633,1.331,0.127,0.509,0.098
2018,34,6.343,Southeastern Asia,Singapore,0.032142857,6.406,6.28,1.005,1.529,1.008,1.451,0.457,0.631,0.261
2018,35,6.322,Southeastern Asia,Malaysia,0.079081633,6.477,6.167,2.507,1.161,0.669,1.258,0.059,0.356,0.311
2018,36,6.31,Western Europe,Spain,0.04005102,6.388,6.231,1.892,1.251,0.965,1.538,0.074,0.449,0.142
2018,37,6.26,Latin America and Caribbean,Colombia,0.05,6.358,6.162,2.556,0.96,0.635,1.439,0.039,0.531,0.099
2018,38,6.192,Latin America and Caribbean,Trinidad and Tobago,,6.416,5.968,2.148452759,1.223,0.564,1.492,0.019,0.575,0.171
2018,39,6.173,Central and Eastern Europe,Slovakia,0.041071429,6.254,6.093,2.165,1.21,0.776,1.537,0.014,0.354,0.118
2018,40,6.167,Latin America and Caribbean,El Salvador,0.053826531,6.272,6.061,2.884,0.806,0.639,1.231,0.082,0.461,0.065
2018,41,6.141,Latin America and Caribbean,Nicaragua,0.058673469,6.256,6.026,2.59,0.668,0.7,1.319,0.128,0.527,0.208
2018,42,6.123,Central and Eastern Europe,Poland,0.038265306,6.198,6.048,2.002,1.176,0.781,1.448,0.064,0.546,0.108
2018,43,6.105,Middle East and Northern Africa,Bahrain,0.043877551,6.191,6.019,1.743,1.338,0.698,1.366,0.123,0.594,0.243
2018,44,6.096,Central and Eastern Europe,Uzbekistan,0.051020408,6.196,5.996,1.877,0.719,0.605,1.584,0.259,0.724,0.328
2018,45,6.083,Middle East and Northern Africa,Kuwait,0.044642857,6.171,5.996,1.805,1.474,0.675,1.301,0.106,0.554,0.167
2018,46,6.072,Southeastern Asia,Thailand,0.045153061,6.161,5.984,1.902,1.016,0.707,1.417,0.029,0.637,0.364
2018,47,6.0,Western Europe,Italy,0.042091837,6.083,5.918,1.843,1.264,0.946,1.501,0.028,0.281,0.137
2018,48,5.973,Latin America and Caribbean,Ecuador,0.052295918,6.076,5.871,2.228,0.889,0.736,1.33,0.12,0.556,0.114
2018,49,5.956,Latin America and Caribbean,Belize,0.123214286,6.197,5.714,2.71,0.807,0.474,1.101,0.089,0.593,0.183
2018,50,5.952,Central and Eastern Europe,Lithuania,0.043367347,6.037,5.867,2.13,1.197,0.716,1.527,0.006,0.35,0.026
2018,51,5.948,Central and Eastern Europe,Slovenia,0.04872449,6.043,5.852,1.522,1.219,0.856,1.506,0.051,0.633,0.16
2018,52,5.945,Central and Eastern Europe,Romania,0.04744898,6.038,5.852,2.269,1.116,0.726,1.219,0.001,0.528,0.088
2018,53,5.933,Central and Eastern Europe,Latvia,0.035969388,6.004,5.863,2.139,1.148,0.671,1.454,0.066,0.363,0.092
2018,54,5.915,Eastern Asia,Japan,0.041836735,5.997,5.833,1.39,1.294,0.988,1.462,0.15,0.553,0.079
2018,55,5.891,Sub-Saharan Africa,Mauritius,0.058418367,6.006,5.777,1.851,1.09,0.684,1.387,0.05,0.584,0.245
2018,56,5.89,Latin America and Caribbean,Jamaica,0.120663265,6.126,5.653,2.182,0.819,0.693,1.493,0.031,0.575,0.096
2018,57,5.875,Eastern Asia,South Korea,0.04744898,5.968,5.782,1.98,1.266,0.955,1.204,0.051,0.244,0.175
2018,58,5.835,Western Europe,North Cyprus,,5.954,5.715,1.658751488,1.229,0.909,1.211,0.154,0.495,0.179
2018,59,5.81,Central and Eastern Europe,Russia,0.033673469,5.876,5.744,2.091,1.151,0.599,1.479,0.025,0.399,0.065
2018,60,5.79,Central and Eastern Europe,Kazakhstan,0.041326531,5.871,5.709,1.778,1.143,0.631,1.516,0.121,0.454,0.148
